prop_min,prop_ally,beta,prop_ally_top_k,prop_min_top_k
0.05,0.0,0.05,0.0,0.0
0.05,0.0,0.1,0.0,0.01
0.05,0.0,0.15,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.01
0.05,0.0,0.25,0.0,0.012
0.05,0.0,0.3,0.0,0.016666666666666666
0.05,0.0,0.35,0.0,0.017142857142857144
0.05,0.0,0.4,0.0,0.015
0.05,0.0,0.45,0.0,0.013333333333333334
0.05,0.0,0.5,0.0,0.012
0.05,0.0,0.55,0.0,0.01090909090909091
0.05,0.0,0.6,0.0,0.01
0.05,0.0,0.65,0.0,0.009230769230769232
0.05,0.0,0.7,0.0,0.008571428571428572
0.05,0.0,0.75,0.0,0.008
0.05,0.0,0.8,0.0,0.0075
0.05,0.0,0.85,0.0,0.007058823529411765
0.05,0.0,0.9,0.0,0.006666666666666667
0.05,0.0,0.95,0.0,0.00631578947368421
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.0
0.05,0.0,0.1,0.0,0.02
0.05,0.0,0.15,0.0,0.03333333333333333
0.05,0.0,0.2,0.0,0.03
0.05,0.0,0.25,0.0,0.028
0.05,0.0,0.3,0.0,0.02666666666666667
0.05,0.0,0.35,0.0,0.022857142857142857
0.05,0.0,0.4,0.0,0.02
0.05,0.0,0.45,0.0,0.017777777777777778
0.05,0.0,0.5,0.0,0.016
0.05,0.0,0.55,0.0,0.014545454545454545
0.05,0.0,0.6,0.0,0.013333333333333334
0.05,0.0,0.65,0.0,0.012307692307692308
0.05,0.0,0.7,0.0,0.011428571428571429
0.05,0.0,0.75,0.0,0.010666666666666666
0.05,0.0,0.8,0.0,0.01
0.05,0.0,0.85,0.0,0.009411764705882352
0.05,0.0,0.9,0.0,0.008888888888888889
0.05,0.0,0.95,0.0,0.008421052631578947
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.0
0.05,0.0,0.1,0.0,0.01
0.05,0.0,0.15,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.02
0.05,0.0,0.25,0.0,0.024
0.05,0.0,0.3,0.0,0.04
0.05,0.0,0.35,0.0,0.04
0.05,0.0,0.4,0.0,0.035
0.05,0.0,0.45,0.0,0.03111111111111111
0.05,0.0,0.5,0.0,0.028
0.05,0.0,0.55,0.0,0.025454545454545455
0.05,0.0,0.6,0.0,0.023333333333333334
0.05,0.0,0.65,0.0,0.021538461538461538
0.05,0.0,0.7,0.0,0.02
0.05,0.0,0.75,0.0,0.018666666666666668
0.05,0.0,0.8,0.0,0.0175
0.05,0.0,0.85,0.0,0.01647058823529412
0.05,0.0,0.9,0.0,0.015555555555555555
0.05,0.0,0.95,0.0,0.014736842105263158
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.0
0.05,0.0,0.1,0.0,0.0
0.05,0.0,0.15,0.0,0.0
0.05,0.0,0.2,0.0,0.005
0.05,0.0,0.25,0.0,0.012
0.05,0.0,0.3,0.0,0.02
0.05,0.0,0.35,0.0,0.02
0.05,0.0,0.4,0.0,0.0275
0.05,0.0,0.45,0.0,0.024444444444444446
0.05,0.0,0.5,0.0,0.022
0.05,0.0,0.55,0.0,0.02
0.05,0.0,0.6,0.0,0.018333333333333333
0.05,0.0,0.65,0.0,0.016923076923076923
0.05,0.0,0.7,0.0,0.015714285714285715
0.05,0.0,0.75,0.0,0.014666666666666666
0.05,0.0,0.8,0.0,0.01375
0.05,0.0,0.85,0.0,0.012941176470588235
0.05,0.0,0.9,0.0,0.012222222222222223
0.05,0.0,0.95,0.0,0.011578947368421053
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.0
0.05,0.0,0.1,0.0,0.0
0.05,0.0,0.15,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.02
0.05,0.0,0.25,0.0,0.024
0.05,0.0,0.3,0.0,0.02666666666666667
0.05,0.0,0.35,0.0,0.03142857142857143
0.05,0.0,0.4,0.0,0.03
0.05,0.0,0.45,0.0,0.02666666666666667
0.05,0.0,0.5,0.0,0.024
0.05,0.0,0.55,0.0,0.02181818181818182
0.05,0.0,0.6,0.0,0.02
0.05,0.0,0.65,0.0,0.018461538461538463
0.05,0.0,0.7,0.0,0.017142857142857144
0.05,0.0,0.75,0.0,0.016
0.05,0.0,0.8,0.0,0.015
0.05,0.0,0.85,0.0,0.01411764705882353
0.05,0.0,0.9,0.0,0.013333333333333334
0.05,0.0,0.95,0.0,0.01263157894736842
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.0
0.05,0.0,0.1,0.0,0.0
0.05,0.0,0.15,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.005
0.05,0.0,0.25,0.0,0.012
0.05,0.0,0.3,0.0,0.013333333333333334
0.05,0.0,0.35,0.0,0.02
0.05,0.0,0.4,0.0,0.025
0.05,0.0,0.45,0.0,0.022222222222222223
0.05,0.0,0.5,0.0,0.02
0.05,0.0,0.55,0.0,0.01818181818181818
0.05,0.0,0.6,0.0,0.016666666666666666
0.05,0.0,0.65,0.0,0.015384615384615385
0.05,0.0,0.7,0.0,0.014285714285714285
0.05,0.0,0.75,0.0,0.013333333333333334
0.05,0.0,0.8,0.0,0.0125
0.05,0.0,0.85,0.0,0.011764705882352941
0.05,0.0,0.9,0.0,0.011111111111111112
0.05,0.0,0.95,0.0,0.010526315789473684
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.02
0.05,0.0,0.1,0.0,0.01
0.05,0.0,0.15,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.015
0.05,0.0,0.25,0.0,0.016
0.05,0.0,0.3,0.0,0.023333333333333334
0.05,0.0,0.35,0.0,0.02
0.05,0.0,0.4,0.0,0.0225
0.05,0.0,0.45,0.0,0.02
0.05,0.0,0.5,0.0,0.018
0.05,0.0,0.55,0.0,0.016363636363636365
0.05,0.0,0.6,0.0,0.015
0.05,0.0,0.65,0.0,0.013846153846153847
0.05,0.0,0.7,0.0,0.012857142857142857
0.05,0.0,0.75,0.0,0.012
0.05,0.0,0.8,0.0,0.01125
0.05,0.0,0.85,0.0,0.010588235294117647
0.05,0.0,0.9,0.0,0.01
0.05,0.0,0.95,0.0,0.009473684210526316
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.02
0.05,0.0,0.1,0.0,0.02
0.05,0.0,0.15,0.0,0.02
0.05,0.0,0.2,0.0,0.03
0.05,0.0,0.25,0.0,0.024
0.05,0.0,0.3,0.0,0.02666666666666667
0.05,0.0,0.35,0.0,0.037142857142857144
0.05,0.0,0.4,0.0,0.0375
0.05,0.0,0.45,0.0,0.03333333333333333
0.05,0.0,0.5,0.0,0.03
0.05,0.0,0.55,0.0,0.02727272727272727
0.05,0.0,0.6,0.0,0.025
0.05,0.0,0.65,0.0,0.023076923076923078
0.05,0.0,0.7,0.0,0.02142857142857143
0.05,0.0,0.75,0.0,0.02
0.05,0.0,0.8,0.0,0.01875
0.05,0.0,0.85,0.0,0.01764705882352941
0.05,0.0,0.9,0.0,0.016666666666666666
0.05,0.0,0.95,0.0,0.015789473684210527
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.02
0.05,0.0,0.1,0.0,0.02
0.05,0.0,0.15,0.0,0.02
0.05,0.0,0.2,0.0,0.035
0.05,0.0,0.25,0.0,0.032
0.05,0.0,0.3,0.0,0.03333333333333333
0.05,0.0,0.35,0.0,0.03142857142857143
0.05,0.0,0.4,0.0,0.0275
0.05,0.0,0.45,0.0,0.024444444444444446
0.05,0.0,0.5,0.0,0.022
0.05,0.0,0.55,0.0,0.02
0.05,0.0,0.6,0.0,0.018333333333333333
0.05,0.0,0.65,0.0,0.016923076923076923
0.05,0.0,0.7,0.0,0.015714285714285715
0.05,0.0,0.75,0.0,0.014666666666666666
0.05,0.0,0.8,0.0,0.01375
0.05,0.0,0.85,0.0,0.012941176470588235
0.05,0.0,0.9,0.0,0.012222222222222223
0.05,0.0,0.95,0.0,0.011578947368421053
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.02
0.05,0.0,0.1,0.0,0.01
0.05,0.0,0.15,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.015
0.05,0.0,0.25,0.0,0.016
0.05,0.0,0.3,0.0,0.02
0.05,0.0,0.35,0.0,0.02857142857142857
0.05,0.0,0.4,0.0,0.025
0.05,0.0,0.45,0.0,0.022222222222222223
0.05,0.0,0.5,0.0,0.02
0.05,0.0,0.55,0.0,0.01818181818181818
0.05,0.0,0.6,0.0,0.016666666666666666
0.05,0.0,0.65,0.0,0.015384615384615385
0.05,0.0,0.7,0.0,0.014285714285714285
0.05,0.0,0.75,0.0,0.013333333333333334
0.05,0.0,0.8,0.0,0.0125
0.05,0.0,0.85,0.0,0.011764705882352941
0.05,0.0,0.9,0.0,0.011111111111111112
0.05,0.0,0.95,0.0,0.010526315789473684
0.05,0.0,1.0,0.0,0.05
0.05,0.05,0.05,0.18,0.02
0.05,0.05,0.1,0.1,0.02
0.05,0.05,0.15,0.08666666666666667,0.013333333333333334
0.05,0.05,0.2,0.095,0.015
0.05,0.05,0.25,0.08,0.012
0.05,0.05,0.3,0.07333333333333333,0.02
0.05,0.05,0.35,0.06857142857142857,0.022857142857142857
0.05,0.05,0.4,0.06,0.02
0.05,0.05,0.45,0.05333333333333334,0.017777777777777778
0.05,0.05,0.5,0.048,0.016
0.05,0.05,0.55,0.04363636363636364,0.014545454545454545
0.05,0.05,0.6,0.04,0.013333333333333334
0.05,0.05,0.65,0.036923076923076927,0.012307692307692308
0.05,0.05,0.7,0.03428571428571429,0.011428571428571429
0.05,0.05,0.75,0.032,0.010666666666666666
0.05,0.05,0.8,0.03,0.01
0.05,0.05,0.85,0.02823529411764706,0.009411764705882352
0.05,0.05,0.9,0.02666666666666667,0.008888888888888889
0.05,0.05,0.95,0.04421052631578947,0.008421052631578947
0.05,0.05,1.0,0.05,0.05
0.05,0.05,0.05,0.06,0.08
0.05,0.05,0.1,0.1,0.06
0.05,0.05,0.15,0.08666666666666667,0.04666666666666667
0.05,0.05,0.2,0.07,0.05
0.05,0.05,0.25,0.064,0.04
0.05,0.05,0.3,0.06,0.03666666666666667
0.05,0.05,0.35,0.06,0.037142857142857144
0.05,0.05,0.4,0.0525,0.0375
0.05,0.05,0.45,0.04666666666666667,0.03333333333333333
0.05,0.05,0.5,0.042,0.03
0.05,0.05,0.55,0.038181818181818185,0.02727272727272727
0.05,0.05,0.6,0.035,0.025
0.05,0.05,0.65,0.03230769230769231,0.023076923076923078
0.05,0.05,0.7,0.03,0.02142857142857143
0.05,0.05,0.75,0.028,0.02
0.05,0.05,0.8,0.02625,0.01875
0.05,0.05,0.85,0.024705882352941175,0.01764705882352941
0.05,0.05,0.9,0.023333333333333334,0.016666666666666666
0.05,0.05,0.95,0.03684210526315789,0.015789473684210527
0.05,0.05,1.0,0.05,0.05
0.05,0.05,0.05,0.06,0.0
0.05,0.05,0.1,0.07,0.02
0.05,0.05,0.15,0.07333333333333333,0.013333333333333334
0.05,0.05,0.2,0.08,0.03
0.05,0.05,0.25,0.072,0.032
0.05,0.05,0.3,0.06666666666666667,0.03666666666666667
0.05,0.05,0.35,0.06285714285714286,0.03428571428571429
0.05,0.05,0.4,0.0575,0.03
0.05,0.05,0.45,0.051111111111111114,0.02666666666666667
0.05,0.05,0.5,0.046,0.024
0.05,0.05,0.55,0.04181818181818182,0.02181818181818182
0.05,0.05,0.6,0.03833333333333333,0.02
0.05,0.05,0.65,0.03538461538461538,0.018461538461538463
0.05,0.05,0.7,0.032857142857142856,0.017142857142857144
0.05,0.05,0.75,0.030666666666666665,0.016
0.05,0.05,0.8,0.02875,0.015
0.05,0.05,0.85,0.027058823529411764,0.01411764705882353
0.05,0.05,0.9,0.025555555555555557,0.013333333333333334
0.05,0.05,0.95,0.04,0.01263157894736842
0.05,0.05,1.0,0.05,0.05
0.05,0.05,0.05,0.12,0.0
0.05,0.05,0.1,0.08,0.0
0.05,0.05,0.15,0.05333333333333334,0.0
0.05,0.05,0.2,0.06,0.01
0.05,0.05,0.25,0.064,0.032
0.05,0.05,0.3,0.06,0.03
0.05,0.05,0.35,0.06,0.02857142857142857
0.05,0.05,0.4,0.06,0.03
