prop_ally,prop_ally_top_k,prop_min_top_k
0.0,0.0,0.06
0.0,0.0,0.14
0.0,0.0,0.08
0.0,0.0,0.14
0.0,0.0,0.06
0.0,0.0,0.02
0.0,0.0,0.16
0.0,0.0,0.16
0.0,0.0,0.1
0.0,0.0,0.08
0.0,0.0,0.06
0.0,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.1
0.0,0.0,0.12
0.0,0.0,0.06
0.0,0.0,0.06
0.0,0.0,0.06
0.0,0.0,0.12
0.0,0.0,0.04
0.015789473684210527,0.02,0.08
0.015789473684210527,0.0,0.14
0.015789473684210527,0.02,0.14
0.015789473684210527,0.02,0.14
0.015789473684210527,0.02,0.14
0.015789473684210527,0.0,0.02
0.015789473684210527,0.08,0.1
0.015789473684210527,0.02,0.14
0.015789473684210527,0.0,0.1
0.015789473684210527,0.02,0.14
0.015789473684210527,0.02,0.1
0.015789473684210527,0.04,0.12
0.015789473684210527,0.0,0.08
0.015789473684210527,0.02,0.08
0.015789473684210527,0.0,0.1
0.015789473684210527,0.0,0.1
0.015789473684210527,0.04,0.1
0.015789473684210527,0.06,0.12
0.015789473684210527,0.02,0.2
0.015789473684210527,0.0,0.04
0.031578947368421054,0.04,0.16
0.031578947368421054,0.0,0.16
0.031578947368421054,0.04,0.14
0.031578947368421054,0.04,0.12
0.031578947368421054,0.04,0.1
0.031578947368421054,0.0,0.04
0.031578947368421054,0.04,0.1
0.031578947368421054,0.02,0.14
0.031578947368421054,0.02,0.14
0.031578947368421054,0.02,0.16
0.031578947368421054,0.04,0.1
0.031578947368421054,0.06,0.12
0.031578947368421054,0.0,0.06
0.031578947368421054,0.04,0.2
0.031578947368421054,0.0,0.08
0.031578947368421054,0.04,0.08
0.031578947368421054,0.06,0.08
0.031578947368421054,0.08,0.1
0.031578947368421054,0.02,0.16
0.031578947368421054,0.02,0.06
0.04736842105263158,0.06,0.26
0.04736842105263158,0.0,0.18
0.04736842105263158,0.1,0.08
0.04736842105263158,0.04,0.18
0.04736842105263158,0.06,0.12
0.04736842105263158,0.0,0.02
0.04736842105263158,0.06,0.12
0.04736842105263158,0.04,0.22
0.04736842105263158,0.02,0.16
0.04736842105263158,0.06,0.18
0.04736842105263158,0.06,0.08
0.04736842105263158,0.06,0.12
0.04736842105263158,0.0,0.08
0.04736842105263158,0.06,0.28
0.04736842105263158,0.02,0.16
0.04736842105263158,0.08,0.1
0.04736842105263158,0.04,0.06
0.04736842105263158,0.08,0.1
0.04736842105263158,0.06,0.16
0.04736842105263158,0.06,0.06
0.06315789473684211,0.12,0.22
0.06315789473684211,0.0,0.12
0.06315789473684211,0.08,0.12
0.06315789473684211,0.06,0.26
0.06315789473684211,0.08,0.16
0.06315789473684211,0.02,0.1
0.06315789473684211,0.04,0.08
0.06315789473684211,0.02,0.18
0.06315789473684211,0.02,0.14
0.06315789473684211,0.08,0.14
0.06315789473684211,0.04,0.08
0.06315789473684211,0.08,0.2
0.06315789473684211,0.0,0.08
0.06315789473684211,0.1,0.16
0.06315789473684211,0.1,0.18
0.06315789473684211,0.12,0.14
0.06315789473684211,0.04,0.16
0.06315789473684211,0.06,0.16
0.06315789473684211,0.08,0.18
0.06315789473684211,0.08,0.1
0.07894736842105263,0.08,0.18
0.07894736842105263,0.02,0.14
0.07894736842105263,0.1,0.1
0.07894736842105263,0.02,0.22
0.07894736842105263,0.08,0.16
0.07894736842105263,0.0,0.1
0.07894736842105263,0.1,0.18
0.07894736842105263,0.06,0.22
0.07894736842105263,0.1,0.2
0.07894736842105263,0.1,0.2
0.07894736842105263,0.06,0.14
0.07894736842105263,0.12,0.18
0.07894736842105263,0.06,0.1
0.07894736842105263,0.14,0.34
0.07894736842105263,0.06,0.22
0.07894736842105263,0.1,0.18
0.07894736842105263,0.08,0.2
0.07894736842105263,0.18,0.14
0.07894736842105263,0.06,0.24
0.07894736842105263,0.1,0.1
0.09473684210526316,0.1,0.22
0.09473684210526316,0.06,0.2
0.09473684210526316,0.08,0.1
0.09473684210526316,0.02,0.26
0.09473684210526316,0.06,0.18
0.09473684210526316,0.1,0.1
0.09473684210526316,0.12,0.22
0.09473684210526316,0.12,0.16
0.09473684210526316,0.1,0.12
0.09473684210526316,0.1,0.18
0.09473684210526316,0.14,0.18
0.09473684210526316,0.14,0.24
0.09473684210526316,0.08,0.12
0.09473684210526316,0.1,0.26
0.09473684210526316,0.12,0.24
0.09473684210526316,0.14,0.14
0.09473684210526316,0.12,0.16
0.09473684210526316,0.16,0.18
0.09473684210526316,0.14,0.26
0.09473684210526316,0.08,0.04
0.1105263157894737,0.12,0.24
0.1105263157894737,0.04,0.2
0.1105263157894737,0.06,0.12
0.1105263157894737,0.06,0.22
0.1105263157894737,0.1,0.22
0.1105263157894737,0.08,0.1
0.1105263157894737,0.12,0.3
0.1105263157894737,0.1,0.2
0.1105263157894737,0.1,0.18
0.1105263157894737,0.16,0.2
0.1105263157894737,0.14,0.22
0.1105263157894737,0.14,0.24
0.1105263157894737,0.08,0.1
0.1105263157894737,0.08,0.3
0.1105263157894737,0.1,0.24
0.1105263157894737,0.16,0.22
0.1105263157894737,0.14,0.18
0.1105263157894737,0.18,0.22
0.1105263157894737,0.14,0.18
0.1105263157894737,0.08,0.04
0.12631578947368421,0.12,0.26
0.12631578947368421,0.04,0.24
0.12631578947368421,0.06,0.18
0.12631578947368421,0.04,0.22
0.12631578947368421,0.14,0.22
0.12631578947368421,0.1,0.14
0.12631578947368421,0.12,0.22
0.12631578947368421,0.04,0.24
0.12631578947368421,0.06,0.2
0.12631578947368421,0.18,0.2
0.12631578947368421,0.2,0.14
0.12631578947368421,0.14,0.28
0.12631578947368421,0.08,0.12
0.12631578947368421,0.16,0.38
0.12631578947368421,0.08,0.22
0.12631578947368421,0.12,0.2
0.12631578947368421,0.22,0.2
0.12631578947368421,0.18,0.2
0.12631578947368421,0.12,0.24
0.12631578947368421,0.08,0.12
0.14210526315789473,0.1,0.18
0.14210526315789473,0.12,0.22
0.14210526315789473,0.06,0.22
0.14210526315789473,0.08,0.26
0.14210526315789473,0.22,0.24
0.14210526315789473,0.12,0.12
0.14210526315789473,0.14,0.24
0.14210526315789473,0.1,0.26
0.14210526315789473,0.08,0.18
0.14210526315789473,0.12,0.2
0.14210526315789473,0.22,0.22
0.14210526315789473,0.12,0.28
0.14210526315789473,0.06,0.14
0.14210526315789473,0.1,0.34
0.14210526315789473,0.16,0.22
0.14210526315789473,0.14,0.22
0.14210526315789473,0.18,0.18
0.14210526315789473,0.24,0.24
0.14210526315789473,0.12,0.32
0.14210526315789473,0.1,0.14
0.15789473684210525,0.06,0.2
0.15789473684210525,0.1,0.24
0.15789473684210525,0.1,0.26
0.15789473684210525,0.04,0.26
0.15789473684210525,0.18,0.26
0.15789473684210525,0.1,0.18
0.15789473684210525,0.16,0.34
0.15789473684210525,0.14,0.28
0.15789473684210525,0.14,0.24
0.15789473684210525,0.12,0.24
0.15789473684210525,0.22,0.14
0.15789473684210525,0.2,0.3
0.15789473684210525,0.08,0.22
0.15789473684210525,0.18,0.32
0.15789473684210525,0.14,0.24
0.15789473684210525,0.16,0.18
0.15789473684210525,0.18,0.18
0.15789473684210525,0.18,0.2
0.15789473684210525,0.12,0.3
0.15789473684210525,0.1,0.18
0.1736842105263158,0.08,0.24
0.1736842105263158,0.14,0.22
0.1736842105263158,0.12,0.3
0.1736842105263158,0.08,0.3
0.1736842105263158,0.14,0.38
0.1736842105263158,0.14,0.2
0.1736842105263158,0.22,0.34
0.1736842105263158,0.14,0.4
0.1736842105263158,0.14,0.24
0.1736842105263158,0.12,0.3
0.1736842105263158,0.24,0.2
0.1736842105263158,0.18,0.28
0.1736842105263158,0.08,0.2
0.1736842105263158,0.12,0.46
0.1736842105263158,0.22,0.26
0.1736842105263158,0.14,0.2
0.1736842105263158,0.22,0.26
0.1736842105263158,0.22,0.24
0.1736842105263158,0.16,0.24
0.1736842105263158,0.1,0.18
0.18947368421052632,0.12,0.22
0.18947368421052632,0.12,0.32
0.18947368421052632,0.14,0.26
0.18947368421052632,0.1,0.44
0.18947368421052632,0.28,0.24
0.18947368421052632,0.18,0.22
0.18947368421052632,0.22,0.38
0.18947368421052632,0.14,0.42
0.18947368421052632,0.1,0.24
0.18947368421052632,0.18,0.24
0.18947368421052632,0.2,0.2
0.18947368421052632,0.2,0.36
0.18947368421052632,0.16,0.16
0.18947368421052632,0.1,0.32
0.18947368421052632,0.16,0.3
0.18947368421052632,0.12,0.28
0.18947368421052632,0.24,0.3
0.18947368421052632,0.24,0.22
0.18947368421052632,0.18,0.32
0.18947368421052632,0.16,0.28
0.20526315789473684,0.16,0.2
0.20526315789473684,0.12,0.32
0.20526315789473684,0.14,0.26
0.20526315789473684,0.16,0.36
0.20526315789473684,0.26,0.32
0.20526315789473684,0.16,0.22
0.20526315789473684,0.24,0.3
0.20526315789473684,0.22,0.34
0.20526315789473684,0.16,0.32
