hc,prop_covert,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k,overt_inequity_score
0.0,0.0,0.0,0.06,0.0,0.06,0.3
0.0,0.0,0.0,0.14,0.0,0.14,0.7000000000000001
0.0,0.0,0.0,0.08,0.0,0.08,0.39999999999999997
0.0,0.0,0.0,0.14,0.0,0.14,0.7000000000000001
0.0,0.0,0.0,0.06,0.0,0.06,0.3
0.0,0.0,0.0,0.02,0.0,0.02,0.09999999999999999
0.0,0.0,0.0,0.16,0.0,0.16,0.7999999999999999
0.0,0.0,0.0,0.16,0.0,0.16,0.7999999999999999
0.0,0.0,0.0,0.1,0.0,0.1,0.5
0.0,0.0,0.0,0.08,0.0,0.08,0.39999999999999997
0.0,0.022222222222222223,0.0,0.08,0.1111111111111111,0.08,0.45
0.0,0.022222222222222223,0.04,0.12,0.1111111111111111,0.16,0.6749999999999999
0.0,0.022222222222222223,0.0,0.08,0.1111111111111111,0.08,0.45
0.0,0.022222222222222223,0.0,0.06,0.1111111111111111,0.06,0.33749999999999997
0.0,0.022222222222222223,0.0,0.04,0.1111111111111111,0.04,0.225
0.0,0.022222222222222223,0.0,0.02,0.1111111111111111,0.02,0.1125
0.0,0.022222222222222223,0.0,0.08,0.1111111111111111,0.08,0.45
0.0,0.022222222222222223,0.04,0.06,0.1111111111111111,0.1,0.33749999999999997
0.0,0.022222222222222223,0.02,0.08,0.1111111111111111,0.1,0.45
0.0,0.022222222222222223,0.0,0.04,0.1111111111111111,0.04,0.225
0.0,0.044444444444444446,0.02,0.04,0.2222222222222222,0.06,0.2571428571428571
0.0,0.044444444444444446,0.02,0.1,0.2222222222222222,0.12000000000000001,0.6428571428571429
0.0,0.044444444444444446,0.0,0.06,0.2222222222222222,0.06,0.3857142857142857
0.0,0.044444444444444446,0.0,0.04,0.2222222222222222,0.04,0.2571428571428571
0.0,0.044444444444444446,0.0,0.04,0.2222222222222222,0.04,0.2571428571428571
0.0,0.044444444444444446,0.0,0.04,0.2222222222222222,0.04,0.2571428571428571
0.0,0.044444444444444446,0.02,0.04,0.2222222222222222,0.06,0.2571428571428571
0.0,0.044444444444444446,0.02,0.1,0.2222222222222222,0.12000000000000001,0.6428571428571429
0.0,0.044444444444444446,0.0,0.08,0.2222222222222222,0.08,0.5142857142857142
0.0,0.044444444444444446,0.0,0.06,0.2222222222222222,0.06,0.3857142857142857
0.0,0.06666666666666667,0.0,0.04,0.3333333333333333,0.04,0.29999999999999993
0.0,0.06666666666666667,0.02,0.02,0.3333333333333333,0.04,0.14999999999999997
0.0,0.06666666666666667,0.0,0.1,0.3333333333333333,0.1,0.7499999999999999
0.0,0.06666666666666667,0.0,0.0,0.3333333333333333,0.0,0.0
0.0,0.06666666666666667,0.0,0.08,0.3333333333333333,0.08,0.5999999999999999
0.0,0.06666666666666667,0.0,0.02,0.3333333333333333,0.02,0.14999999999999997
0.0,0.06666666666666667,0.0,0.04,0.3333333333333333,0.04,0.29999999999999993
0.0,0.06666666666666667,0.06,0.06,0.3333333333333333,0.12,0.4499999999999999
0.0,0.06666666666666667,0.04,0.04,0.3333333333333333,0.08,0.29999999999999993
0.0,0.06666666666666667,0.0,0.08,0.3333333333333333,0.08,0.5999999999999999
0.0,0.08888888888888889,0.0,0.04,0.4444444444444444,0.04,0.36
0.0,0.08888888888888889,0.02,0.08,0.4444444444444444,0.1,0.72
0.0,0.08888888888888889,0.0,0.06,0.4444444444444444,0.06,0.5399999999999999
0.0,0.08888888888888889,0.0,0.0,0.4444444444444444,0.0,0.0
0.0,0.08888888888888889,0.02,0.06,0.4444444444444444,0.08,0.5399999999999999
0.0,0.08888888888888889,0.0,0.0,0.4444444444444444,0.0,0.0
0.0,0.08888888888888889,0.0,0.04,0.4444444444444444,0.04,0.36
0.0,0.08888888888888889,0.04,0.04,0.4444444444444444,0.08,0.36
0.0,0.08888888888888889,0.04,0.08,0.4444444444444444,0.12,0.72
0.0,0.08888888888888889,0.02,0.04,0.4444444444444444,0.06,0.36
0.0,0.11111111111111112,0.0,0.04,0.5555555555555556,0.04,0.45
