prop_min,prop_ally,beta,prop_ally_top_k,prop_min_top_k,iter
0.216,0.000,0.05,0.0,0.04,1
0.216,0.000,0.1,0.0,0.09,1
0.216,0.000,0.15,0.0,0.08666666666666667,1
0.216,0.000,0.2,0.0,0.11,1
0.216,0.000,0.25,0.0,0.12,1
0.216,0.000,0.3,0.0,0.13,1
0.216,0.000,0.35,0.0,0.15,1
0.216,0.000,0.4,0.0,0.16875,1
0.216,0.000,0.45,0.0,0.17888888888888888,1
0.216,0.000,0.5,0.0,0.189,1
0.216,0.000,0.55,0.0,0.19,1
0.216,0.000,0.6,0.0,0.17416666666666666,1
0.216,0.000,0.65,0.0,0.16076923076923078,1
0.216,0.000,0.7,0.0,0.1492857142857143,1
0.216,0.000,0.75,0.0,0.13933333333333334,1
0.216,0.000,0.8,0.0,0.130625,1
0.216,0.000,0.85,0.0,0.12294117647058823,1
0.216,0.000,0.9,0.0,0.12944444444444445,1
0.216,0.000,0.95,0.0,0.17526315789473684,1
0.216,0.000,1.0,0.0,0.2165,1
0.026,0.413,0.05,0.35,0.06,4
0.026,0.413,0.1,0.405,0.05,4
0.026,0.413,0.15,0.44,0.04666666666666667,4
0.026,0.413,0.2,0.4375,0.0525,4
0.026,0.413,0.25,0.436,0.044,4
0.026,0.413,0.3,0.43166666666666664,0.041666666666666664,4
0.026,0.413,0.35,0.42857142857142855,0.04,4
0.026,0.413,0.4,0.43125,0.04,4
0.026,0.413,0.45,0.4211111111111111,0.03666666666666667,4
0.026,0.413,0.5,0.422,0.034,4
0.026,0.413,0.55,0.4090909090909091,0.03363636363636364,4
0.026,0.413,0.6,0.375,0.030833333333333334,4
0.026,0.413,0.65,0.34615384615384615,0.02846153846153846,4
0.026,0.413,0.7,0.32142857142857145,0.02642857142857143,4
0.026,0.413,0.75,0.3,0.024666666666666667,4
0.026,0.413,0.8,0.28125,0.023125,4
0.026,0.413,0.85,0.31823529411764706,0.02176470588235294,4
0.026,0.413,0.9,0.3561111111111111,0.020555555555555556,4
0.026,0.413,0.95,0.39,0.019473684210526317,4
0.026,0.413,1.0,0.4125,0.0265,4
0.234,0.103,0.05,0.13,0.21,1
0.234,0.103,0.1,0.11,0.23,1
0.234,0.103,0.15,0.11333333333333333,0.20333333333333334,1
0.234,0.103,0.2,0.1075,0.205,1
0.234,0.103,0.25,0.114,0.218,1
0.234,0.103,0.3,0.115,0.22,1
0.234,0.103,0.35,0.10857142857142857,0.22285714285714286,1
0.234,0.103,0.4,0.10875,0.225,1
0.234,0.103,0.45,0.10777777777777778,0.2288888888888889,1
0.234,0.103,0.5,0.104,0.235,1
0.234,0.103,0.55,0.10454545454545454,0.23727272727272727,1
0.234,0.103,0.6,0.09583333333333334,0.2175,1
0.234,0.103,0.65,0.08846153846153847,0.20076923076923076,1
0.234,0.103,0.7,0.08214285714285714,0.18642857142857142,1
0.234,0.103,0.75,0.07666666666666666,0.174,1
0.234,0.103,0.8,0.071875,0.163125,1
0.234,0.103,0.85,0.06764705882352941,0.1535294117647059,1
0.234,0.103,0.9,0.11444444444444445,0.14888888888888888,1
0.234,0.103,0.95,0.10842105263157895,0.1936842105263158,1
0.234,0.103,1.0,0.103,0.234,1
0.116,0.155,0.05,0.14,0.08,7
0.116,0.155,0.1,0.16,0.115,7
0.116,0.155,0.15,0.15333333333333332,0.11666666666666667,7
0.116,0.155,0.2,0.1675,0.1225,7
0.116,0.155,0.25,0.168,0.12,7
0.116,0.155,0.3,0.17333333333333334,0.11833333333333333,7
0.116,0.155,0.35,0.16714285714285715,0.12285714285714286,7
0.116,0.155,0.4,0.17,0.12125,7
0.116,0.155,0.45,0.16333333333333333,0.12222222222222222,7
0.116,0.155,0.5,0.162,0.121,7
0.116,0.155,0.55,0.1618181818181818,0.1190909090909091,7
0.116,0.155,0.6,0.14833333333333334,0.10916666666666666,7
0.116,0.155,0.65,0.13692307692307693,0.10076923076923076,7
0.116,0.155,0.7,0.12714285714285714,0.09357142857142857,7
0.116,0.155,0.75,0.11866666666666667,0.08733333333333333,7
0.116,0.155,0.8,0.11125,0.081875,7
0.116,0.155,0.85,0.10470588235294118,0.07705882352941176,7
0.116,0.155,0.9,0.11666666666666667,0.07277777777777777,7
0.116,0.155,0.95,0.16263157894736843,0.06947368421052631,7
0.116,0.155,1.0,0.1545,0.116,7
0.053,0.438,0.05,0.32,0.19,8
0.053,0.438,0.1,0.375,0.145,8
0.053,0.438,0.15,0.38333333333333336,0.10666666666666667,8
0.053,0.438,0.2,0.405,0.095,8
0.053,0.438,0.25,0.424,0.09,8
0.053,0.438,0.3,0.4166666666666667,0.08333333333333333,8
0.053,0.438,0.35,0.4228571428571429,0.07857142857142857,8
0.053,0.438,0.4,0.43125,0.07625,8
0.053,0.438,0.45,0.43444444444444447,0.07333333333333333,8
0.053,0.438,0.5,0.43,0.069,8
0.053,0.438,0.55,0.4172727272727273,0.06454545454545454,8
0.053,0.438,0.6,0.3825,0.059166666666666666,8
0.053,0.438,0.65,0.35307692307692307,0.054615384615384614,8
0.053,0.438,0.7,0.32785714285714285,0.05071428571428571,8
0.053,0.438,0.75,0.306,0.04733333333333333,8
0.053,0.438,0.8,0.320625,0.044375,8
0.053,0.438,0.85,0.36058823529411765,0.04176470588235294,8
0.053,0.438,0.9,0.39611111111111114,0.03944444444444444,8
0.053,0.438,0.95,0.42789473684210527,0.03736842105263158,8
0.053,0.438,1.0,0.4385,0.0535,8
0.140,0.077,0.05,0.06,0.13,4
0.140,0.077,0.1,0.07,0.135,4
0.140,0.077,0.15,0.07,0.13,4
0.140,0.077,0.2,0.08,0.135,4
0.140,0.077,0.25,0.09,0.132,4
0.140,0.077,0.3,0.08333333333333333,0.14,4
