Source,Target,sign
0,56,1
0,92,1
0,179,1
0,187,1
0,318,1
0,734,1
0,1159,1
0,1254,1
0,1412,1
0,1414,1
0,1480,1
1,582,1
1,1200,1
1,1295,1
1,1330,1
2,232,1
2,529,1
2,569,1
2,708,1
3,165,1
3,182,1
3,316,1
3,534,1
3,676,1
3,734,1
3,801,1
3,895,1
3,1123,1
3,1319,1
3,1377,1
3,1566,1
4,1213,1
4,1226,1
5,407,1
5,927,1
5,979,1
7,40,1
7,279,1
7,883,1
8,188,1
8,1350,1
9,879,1
10,188,1
10,418,1
10,597,1
10,1004,1
11,488,1
11,1226,1
12,187,1
12,316,1
13,187,1
13,1388,1
14,633,1
14,734,1
14,1326,1
14,1377,1
14,1404,1
14,1412,1
14,1464,1
15,94,1
15,316,1
15,1226,1
16,11,1
16,40,1
17,3,1
17,550,1
17,607,1
18,38,1
18,710,1
18,1193,1
18,1464,1
19,179,1
19,187,1
20,179,1
20,253,1
20,316,1
20,1031,1
21,316,1
21,818,1
21,884,1
21,1020,1
22,409,1
22,462,1
22,734,1
22,1200,1
22,1203,1
22,1212,1
22,1404,1
23,556,1
24,216,1
24,219,1
24,286,1
24,589,1
24,734,1
24,885,1
25,179,1
25,188,1
25,320,1
25,352,1
25,542,1
25,617,1
25,710,1
25,1042,1
25,1196,1
25,1226,1
25,1259,1
25,1524,1
25,1911,1
26,177,1
26,195,1
26,1004,1
26,1464,1
27,253,1
27,612,1
27,676,1
27,828,1
28,1004,1
29,11,1
29,592,1
29,601,1
29,1069,1
29,1404,1
30,296,1
30,562,1
30,633,1
30,719,1
30,1207,1
30,1464,1
31,712,1
31,1004,1
31,1199,1
31,1494,1
32,179,1
32,187,1
32,197,1
32,513,1
32,520,1
32,569,1
32,586,1
32,884,1
32,1057,1
32,1066,1
32,1068,1
32,1159,1
32,1198,1
32,1247,1
32,1302,1
32,1351,1
32,1377,1
32,1404,1
32,1431,1
33,15,1
33,256,1
33,371,1
33,488,1
33,690,1
33,907,1
33,1568,1
35,177,1
35,193,1
35,515,1
36,178,1
36,179,1
36,241,1
36,582,1
36,1193,1
36,1404,1
37,94,1
37,177,1
37,210,1
37,279,1
38,854,1
38,1328,1
40,59,1
40,506,1
41,742,1
42,216,1
42,477,1
42,953,1
42,1583,1
43,840,1
43,972,1
44,344,1
44,807,1
44,1064,1
44,1184,1
45,662,1
45,881,1
45,999,1
46,59,1
46,1057,1
46,1133,1
46,1555,1
47,696,1
47,1247,1
47,1412,1
48,847,1
48,918,1
48,1351,1
48,1366,1
48,1725,1
49,367,1
49,534,1
49,934,1
50,569,1
50,1122,1
50,1159,1
50,1312,1
50,1544,1
51,734,1
51,1212,1
51,1464,1
52,576,1
53,272,1
53,280,1
53,434,1
53,676,1
53,1213,1
53,1862,1
54,316,1
54,323,1
54,407,1
54,576,1
54,778,1
54,1004,1
54,1020,1
54,1111,1
55,22,1
55,27,1
55,73,1
55,94,1
55,111,1
55,179,1
55,187,1
55,234,1
55,279,1
55,348,1
55,352,1
55,394,1
55,413,1
55,462,1
55,468,1
55,486,1
55,534,1
55,612,1
55,672,1
55,676,1
55,710,1
55,735,1
55,819,1
55,936,1
55,982,1
55,983,1
55,1030,1
55,1037,1
55,1067,1
55,1069,1
55,1159,1
55,1184,1
55,1217,1
55,1226,1
55,1247,1
55,1264,1
55,1343,1
55,1363,1
55,1410,1
55,1412,1
55,1464,1
55,1468,1
56,522,1
56,818,1
56,825,1
56,1298,1
57,298,1
57,324,1
57,706,1
57,982,1
57,1194,1
57,1625,1
58,407,1
58,868,1
58,870,1
58,1238,1
58,1354,1
58,1377,1
58,1485,1
59,1184,1
59,1330,1
60,40,1
60,534,1
60,799,1
60,1048,1
60,1159,1
60,1223,1
60,1309,1
60,1345,1
60,1434,1
61,211,1
61,1230,1
62,179,1
62,676,1
62,905,1
63,188,1
63,329,1
63,597,1
63,1319,1
63,1506,1
63,1515,1
64,407,1
64,734,1
64,1261,1
65,53,1
65,147,1
65,452,1
65,1065,1
65,1555,1
66,94,1
66,534,1
66,1543,1
67,177,1
67,490,1
67,842,1
67,1543,1
68,686,1
68,818,1
69,179,1
69,1351,1
69,1464,1
69,1586,1
70,42,1
70,316,1
70,1240,1
70,1326,1
70,1414,1
71,53,1
71,612,1
71,1555,1
73,323,1
73,582,1
73,1022,1
73,1414,1
74,210,1
74,321,1
74,348,1
74,942,1
74,1223,1
74,1879,1
75,1004,1
75,1412,1
75,1464,1
76,279,1
76,712,1
76,787,1
76,1301,1
77,316,1
77,323,1
77,706,1
77,1377,1
77,1412,1
77,1434,1
78,40,1
78,357,1
78,407,1
78,1159,1
78,1222,1
79,633,1
79,1386,1
80,120,1
80,225,1
80,280,1
80,576,1
80,734,1
80,828,1
80,1212,1
80,1902,1
81,1305,1
81,1464,1
82,508,1
82,1379,1
83,64,1
83,179,1
84,557,1
84,1212,1
84,1339,1
85,153,1
85,371,1
85,1057,1
86,179,1
86,188,1
86,279,1
86,407,1
86,486,1
86,544,1
86,612,1
86,676,1
86,804,1
86,905,1
